review_id,product_id,review_text,rating,review_date,reviews_username,reviews_title,reviews_numhelpful,reviews_dorecommend,brand,name,categories,primarycategories,review_len,review_word_count,clean_text,sentiment,keywords
AVpgdkC8ilAPnD_xsvyi,B018Y22BI4,I've had kindles for years and this latest one is also right up at the top,5,2016-11-25 00:00:00+00:00,craftie,good value,0,True,Amazon,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black","Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,74,16,i've had kindles for years and this latest one is also right up at the top,positive,"kindles,years,latest,one,also"
AVqkIhwDv8e3D1O-lebb,B01AHB9CN2,"This was bought to replace my old Kindle with keypad, and experimental internet. Was surprised how much the Kindle had changed, and at the same price as my old one was when I bought it!Have already shown it to a couple of friends who now say they are thinking about getting one.",4,2017-03-18 00:00:00+00:00,Janet,Great picture quality,0,True,Amazon,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,278,52,"this was bought to replace my old kindle with keypad, and experimental internet. was surprised how much the kindle had changed, and at the same price as my old one was when i bought it!have already shown it to a couple of friends who now say they are thinking about getting one.",positive,"bought,old,kindle,one,replace"
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,3,2017-09-03 00:00:00+00:00,llyyue,Too small,0,False,Amazon,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Computers,Electronics Features,Tablets,Electronics,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Computers & Tablets,Amazon,Tablets & eBook Readers",Electronics,211,41,i thought it would be as big as small paper but turn out to be just like my palm. i think it is too small to read on it... not very comfortable as regular kindle. would definitely recommend a paperwhite instead.,positive,"would,small,thought,big,paper"
AVpftoij1cnluZ0-p5n2,B00IOYAM4I,i needed something to read in the sunlight other than fire hd,5,2015-08-12 00:00:00+00:00,Lester,love it,2,True,Amazon,Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,"Computers & Tablets,E-Readers & Accessories,eBook Readers,Kindle E-readers",Electronics,61,12,i needed something to read in the sunlight other than fire hd,negative,"needed,something,read,sunlight,fire"
AVqkIh9HQMlgsOJE6fu_,B01AHBDCKQ,"Bought this mostly as a backup.and to read a few books, since I have a larger cell phone and a back up. Used it occasionally may 40 or 50 hours of use till this week when I sent my laptop in for repairs. so I probably used it a tot this week. I was watching my 3rd Primetime video this week and it simply turned off. It will not turn on using any power trick such as safe mode. It is gone, It is toast. Bought it October 11, 2016 , It quit on February 9, 2015. My old Fire lasted 4 or 5 years with more use. it had stereo speakers, lasted a week on a charge not 2 or 3 days.Sturdier built. This is full of junk, I am not just offered more apps, it is constantly trying to add them. JUNK JUNK JUNK",1,2017-02-11 00:00:00+00:00,PatF,"less than 120 days, about 100 use. It is toast!",0,False,Amazon,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue","Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,696,146,"bought this mostly as a backup.and to read a few books, since i have a larger cell phone and a back up. used it occasionally may 40 or 50 hours of use till this week when i sent my laptop in for repairs. so i probably used it a tot this week. i was watching my 3rd primetime video this week and it simply turned off. it will not turn on using any power trick such as safe mode. it is gone, it is toast. bought it october 11, 2016 , it quit on february 9, 2015. my old fire lasted 4 or 5 years with more use. it had stereo speakers, lasted a week on a charge not 2 or 3 days.sturdier built. this is full of junk, i am not just offered more apps, it is constantly trying to add them. junk junk junk",positive,"week,junk,used,bought,lasted"
AVqVGWLKnnc1JgDc3jF1,B018Y23MNM,My grandson really enjoyed this product. Good deal.,4,2017-05-17 00:00:00+00:00,Donnie,Good product for young child.,0,True,Amazon,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,51,8,my grandson really enjoyed this product. good deal.,positive,"grandson,really,enjoyed,product,good"
AVpidLjVilAPnD_xEVpI,B0189XYY0Q,I was initially going to just get the Amazon Kindle but I thought this gives me a tablet and a easy way to read books. I buy e-college texts. It has helped me so much!! I'm so happy I invested my money in this.,5,2017-03-03 00:00:00+00:00,gloria,GREAT TABLET,0,True,Amazon,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","eBook Readers,Fire Tablets,Electronics Features,Tablets,Amazon Tablets,College Ipads & Tablets,Electronics,Electronics Deals,College Electronics,Featured Brands,All Tablets,Computers & Tablets,Back To College,Amazon Devices,Tablets & E-Readers","Office Supplies,Electronics",210,44,i was initially going to just get the amazon kindle but i thought this gives me a tablet and a easy way to read books. i buy e-college texts. it has helped me so much!! i'm so happy i invested my money in this.,positive,"initially,going,get,amazon,kindle"
AWFUWc8THh53nbDRF6YO,B010CEHQTG,Great Gift for anyone. Very easy to setup. Coexist with all IOT Devices. Alexa is AWESOME!,5,2017-12-16 00:00:00+00:00,doyson,Amazon Echo Show - Greatest Gift EVER,0,True,Amazon,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen","Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",90,16,great gift for anyone. very easy to setup. coexist with all iot devices. alexa is awesome!,positive,"great,gift,anyone,easy,setup"
AVqkIh8WQMlgsOJE6fu-,B01ACEKAJY,I have had this for several weeks. It works great. I am very satisfied with it so far.,5,2017-03-16 00:00:00+00:00,peaches43,Great Device,0,True,Amazon,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black","Fire Tablets,Tablets,Computers/Tablets & Networking,Other Computers & Networking,Computers & Tablets,All Tablets",Electronics,86,18,i have had this for several weeks. it works great. i am very satisfied with it so far.,positive,"several,weeks,works,great,satisfied"
AVpfIfGA1cnluZ0-emyp,B00QFQRELG,I needed a second charger (for traveling) for my Kindle Fire that was a fast charger. This worked great. It charges my Kindle fire in just a few hours.,5,2016-08-11 00:00:00+00:00,jediliz,Works great for charging my Kindle Fire,0,True,Amazon,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,"Computers & Accessories,Tablet & E-Reader Accessories,Amazon Devices & Accessories,Electronics,Power Adapters & Cables,Computers Features,Cell Phone Accessories,Cell Phone Batteries & Power,Digital Device Accessory,Tablet Accessories,Featured Brands,Kindle Fire (2nd Generation) Accessories,Kindle Store,Power Adapters Cables,Electrical,Home,Tablets & E-Readers,Chargers Adapters,Chargers & Adapters,Electronics Features,Fire Tablet Accessories,Amazon Book Reader Accessory,Cell Phones,Amazon Device Accessories,Home Improvement,Fire (5th Generation) Accessories,Amazon Devices,Cables & Chargers",Electronics,151,29,i needed a second charger (for traveling) for my kindle fire that was a fast charger. this worked great. it charges my kindle fire in just a few hours.,negative,"charger,fire,kindle,second,needed"
